"area","year","value_export","value_production","derivado1","derivado2","derivado3","precio_kg_nominal","precio_kg_real","precio_local","tipo_cambio","precio_usd","total_derivados","total_export","precio_internacional_nominal","precio_internacional_real","ln_production","ln_supply","ln_precio_prodcutor_usd","ln_tipo_cambio","ln_precio_internacional_nominal","ln_precio_internacional_real","smuggling_incentive"
"Côte d'Ivoire",1991,701679,764708,30407,19274,33206,1.19505833333,1.45895164781,2e+05,282.10690880882,709,103716.89,805395.89,1195.05833333,1458.95164781,13.5472493405965,13.5990892243321,6.56385552653213,5.64228610834549,7.08595027767631,7.2854734073362,0.859379407616361
"Côte d'Ivoire",1992,636309,813009,30603,17539,31164,1.09956666667,1.31774355247,2e+05,264.691800750579,755.6,99399.26,735708.26,1099.56666667,1317.74355247,13.6084974585794,13.5085889332598,6.62751213562735,5.5785661331227,7.00267144178105,7.18367612289087,0.760984647961885
"Côte d'Ivoire",1993,789371,803799,27008,24942,30993,1.116925,1.29389623771,2e+05,283.162579500018,706.3,103669.88,893040.88,1116.925,1293.89623771,13.5971045169059,13.7023876370863,6.56004007641488,5.64602121855519,7.01833465267885,7.16541328460456,0.563075180518193
"Côte d'Ivoire",1994,694611,808662,24104,20291,4700,1.39596666667,1.66722572847,315000,555.204695655697,567.4,62968.07,757579.07,1395.96666667,1667.22572847,13.6031363089852,13.5378831937564,6.34106452237475,6.31933686674994,7.24134240529369,7.41891628358369,0.568029608741629
"Côte d'Ivoire",1995,741294,1120000,24861,25561,1012,1.432425,1.55833814693,320000,499.14842590131,641.1,66210.54,807504.54,1432.425,1558.33814693,13.9288392432713,13.6017039563542,6.46318545099321,6.21290349821903,7.26712409119733,7.35137524198894,0.910622367805334
"Côte d'Ivoire",1996,1053716,1235300,26763,49189,4895,1.45556666667,1.61427183612,320000,511.552430272516,625.5,102857.14,1156573.14,1455.56666667,1614.27183612,14.0268244135249,13.9609720011961,6.43855132990697,6.23745008311518,7.28315056541396,7.38663925851436,0.928697042366107
"Côte d'Ivoire",1997,992939.73,1119110,29011.49,58371.4,4960.58,1.61873333333,1.88395389692,430000,583.669372353396,736.7,117403.0161,1110342.7461,1618.73333333,1883.95389692,13.9280442845181,13.920179305896,6.60218075368877,6.36933467927815,7.38939922938249,7.54112798398764,0.795303379937559
"Côte d'Ivoire",1998,895429.2,1201119,30337.05,82860.42,6397.58,1.67638333333,2.04011727229,455000,589.951774567332,771.2,151472.9459,1046902.1459,1676.38333333,2040.11727229,13.9987641802502,13.8613460240713,6.64794774329634,6.38004079553756,7.42439397406043,7.62076257160265,1.00972510373444
"Côte d'Ivoire",1999,1113177,1163025,38543.31,87815.57,9829.47,1.13531666667,1.40873199327,350000,615.473349319164,568.5,172630.8394,1285807.8394,1135.31666667,1408.73199327,13.9665349274005,14.0668977475758,6.34300131319059,6.42239164544932,7.0346668924732,7.25044528321018,1.48425681618294
"Côte d'Ivoire",2000,1113476,1401101,33550.47,91059.86,12638.49,0.90579166667,1.13850134071,313000,710.207977031367,439.6,173360.3683,1286836.3683,905.79166667,1138.50134071,14.152768914084,14.067697336537,6.08586522252947,6.56555785253738,6.80880933111291,7.03746806311399,0.93926296633303
"Côte d'Ivoire",2001,1025954,1212428,44109,116563,20558,1.06873333333,1.39557760947,473000,732.397693260228,645.3,228627.16,1254581.16,1068.73333333,1395.57760947,14.0081355185873,14.0423123377936,6.46971532494179,6.59632366323263,6.97422942558434,7.24106366552528,0.751743375174338
"Côte d'Ivoire",2002,1004283,1264708,54221,108957,30926,1.77785833333,2.34917855884,662000,693.713226496374,949.8,244802.86,1249085.86,1777.85833333,2349.17855884,14.0503518234589,14.0379225297394,6.85625143611502,6.54205865680366,7.48316473535724,7.76182099660178,0.823752368919773
"Côte d'Ivoire",2003,947858,1351546,59796,94041,34172,1.75087716667,2.19904190739,688000,579.897426172466,1183.8,237402.89,1185260.89,1750.87716667,2199.04190739,14.1167596803754,13.9854734686572,7.07648488225662,6.36285123647362,7.46787217943685,7.69577704784929,0.856563608717689
"Côte d'Ivoire",2004,1060641,1407213,60281,102021,34274,1.54984861479,1.82270800281,207000,527.338032291576,391.8,248143.3,1308784.3,1549.84861479,1822.70800281,14.1571217105663,14.0846092490374,5.97075150551044,6.26784177041292,7.34591253726605,7.50807858785602,2.5538540071465
"Côte d'Ivoire",2005,990956,1286330,58958,111524,35015,1.53811959058,1.75384217854,329000,527.258362649626,623.7,259136.84,1250092.84,1538.11959058,1753.84217854,14.0673037605034,14.0387283785205,6.43566948353208,6.26769068011433,7.33831590424682,7.4695641908565,1.59227192560526
"Côte d'Ivoire",2006,925129,1408854,60236,112402,31984,1.59190223743,1.77015705263,343000,522.425624895176,656,258357.5,1183486.5,1591.90223743,1770.15705263,14.1582871659236,13.983975301027,6.48616078894409,6.25848262900877,7.37268495586924,7.47882355193101,1.5219512195122
"Côte d'Ivoire",2007,803886,1229908,57685,121066,38659,1.95226915528,2.04576040583,380000,478.633718476363,792.9,273671.17,1077557.17,1952.26915528,2045.76040583,14.0224499278032,13.8902071575572,6.67569711027835,6.17093562530429,7.57674764439374,7.6235248359545,1.23395131794678
"Côte d'Ivoire",2008,782868,1382441,62410,135434,35815,2.57711632353,2.50619111498,467000,446.000041432788,1042.9,294559.5,1077427.5,2577.11632353,2506.19111498,14.1393613351569,13.8900868133134,6.94976057312717,6.10031904491869,7.85442634876052,7.82651939550904,1.08773612043341
"Côte d'Ivoire",2009,917700,1223153,67201,141275,34406,2.88875032967,2.99476501106,620000,470.293423341398,1313,306570.16,1224270.16,2888.75032967,2994.76501106,14.0169425090524,14.0178554366538,7.1800698743028,6.15335680488852,7.96857927571061,8.00462104705735,0.882254379284082
"Côte d'Ivoire",2010,790912,1301347,63506,147371,30420,3.13300385383,3.13300385383,983000,494.794262222947,1984.7,304572.33,1095484.33,3133.00385383,3133.00385383,14.078910439841,13.9067071339446,7.59322304819821,6.20414204429699,8.04974752102804,8.04974752102804,0.845014359852874
"Côte d'Ivoire",2011,1073282,1511255,56226,142819,25599,2.98007671317,2.68378666532,803000,471.248625718937,1701.8,283511.15,1356793.15,2980.07671317,2683.78666532,14.2284509894251,14.1206344953632,7.43944179341546,6.15538582251168,7.99970432184261,7.89498401107265,1.06534257844635
"Côte d'Ivoire",2012,1011631,1485882,71109,143216,27595,2.39186905303,2.16988937043,725000,510.556338454251,1420.01958529199,306157.07,1317788.07,2391.86905303,2169.88937043,14.2115190933007,14.0914651844538,7.25842594295934,6.23550099087748,7.77983036985548,7.68243146386625,1.26575126770775
"Côte d'Ivoire",2013,813891,1448992,54772,131822,22227,2.43884667208,2.22218375588,750000,493.899623852237,1518.52717390281,263852.12,1077743.12,2438.84667208,2222.18375588,14.1863787002386,13.8903797089193,7.32549617955309,6.2023323059594,7.79928053116398,7.70624566519609,1.12738454360699
