"area","year","value_export","total_production","derivado1","derivado2","derivado3","precio_kg_nominal","precio_kg_real","precio_local","tipo_cambio","precio_usd","total_derivados","total_export","precio_internacional_nominal","precio_internacional_real","ln_production","ln_total_export","ln_precio_productor_usd","ln_tipo_cambio","ln_precio_internacional_nominal","ln_precio_internacional_real"
"Ghana",1991,243040,241796,7725,7470,6968,1.19505833333,1.45895164781,22.4,0.0367633074820788,609.3,27833.99,270873.99,1195.05833333,1458.95164781,12.3958496744288,12.5094090101746,6.41231075725445,-3.30325501051281,7.08595027767631,7.2854734073362
"Ghana",1992,223770,312122,6270,5600,7458,1.09956666667,1.31774355247,25.1,0.0436851673835125,575,24139.54,247909.54,1099.56666667,1317.74355247,12.651149416002,12.4208192005422,6.35437004079735,-3.1307466536379,7.00267144178105,7.18367612289087
"Ghana",1993,255966,254652,7650,7925,6839,1.116925,1.29389623771,25.8,0.0648711875896057,397.7,28150.77,284116.77,1116.925,1293.89623771,12.447653186199,12.5571405946113,5.98569795221364,-2.73535170470098,7.01833465267885,7.16541328460456
"Ghana",1994,238269,288075,3900,5885,4365,1.39596666667,1.66722572847,30.8,0.0955682388545159,322.3,17693.95,255962.95,1395.96666667,1667.22572847,12.5709761418822,12.4527879864253,5.77548278882139,-2.34791474368052,7.24134240529369,7.41891628358369
"Ghana",1995,238841,403900,3475,8757,2190,1.432425,1.55833814693,70,0.119913872960145,583.8,18152.2,256993.2,1432.425,1558.33814693,12.9089226015515,12.4568049043833,6.36955845842001,-2.12098151922035,7.26712409119733,7.35137524198894
"Ghana",1996,429751,403000,33496,5690,2350,1.45556666667,1.61427183612,95,0.163547167575201,580.9,54435.18,484186.18,1455.56666667,1614.27183612,12.9066918409288,13.0902247811539,6.36457862499849,-1.81065384355064,7.28315056541396,7.38663925851436
"Ghana",1997,235648,322490,23131,4970,23637,1.61873333333,1.88395389692,120,0.204796277898216,585.9,64868.39,300516.39,1618.73333333,1883.95389692,12.6838274069853,12.6132575738993,6.37314912655074,-1.58573956030706,7.38939922938249,7.54112798398764
"Ghana",1998,292838,409360,17416,3643,17414,1.67638333333,2.04011727229,180,0.231165900582341,778.7,48265.55,341103.55,1676.38333333,2040.11727229,12.922350243479,12.7399413758577,6.65762586258294,-1.46461964189217,7.42439397406043,7.62076257160265
"Ghana",1999,280914,434200,14913,0,21130,1.13531666667,1.40873199327,225,0.266642972407191,843.8,44767.69,325681.69,1135.31666667,1408.73199327,12.9812605364263,12.6936757723061,6.73791549969024,-1.32184469740306,7.0346668924732,7.25044528321018
"Ghana",2000,360250,436600,16732.6,7538.36,19599.61,0.90579166667,1.13850134071,225,0.544919175868766,412.9,54804.8478,415054.8478,905.79166667,1138.50134071,12.986772723098,12.9361659538535,6.02320543289204,-0.607117796474824,6.80880933111291,7.03746806311399
"Ghana",2001,335500,389591,9517,3971,12490,1.06873333333,1.39557760947,347.5,0.716305157808996,485.1,32359.56,367859.56,1068.73333333,1395.57760947,12.8728527498677,12.8154565138769,6.18435505525117,-0.33364900476083,6.97422942558434,7.24106366552528
"Ghana",2002,310738,340562,17839,13127,15781,1.77785833333,2.34917855884,620,0.792417084313167,782.4,58756.2,369494.2,1777.85833333,2349.17855884,12.7383524731651,12.8198903223595,6.66236611872061,-0.232667404176672,7.48316473535724,7.76182099660178
"Ghana",2003,346890,497000,22000,15500,21000,1.75087716667,2.19904190739,878.9,0.866764326525345,1014,73415,420305,1750.87716667,2199.04190739,13.1163453050788,12.948735917187,6.92165818415113,-0.142988165536768,7.46787217943685,7.69577704784929
"Ghana",2004,640328,737000,17000,20384,23800,1.54984861479,1.82270800281,900,0.899494854007063,1000.6,76174,716502,1549.84861479,1822.70800281,13.5103431711715,13.4821363175933,6.9083550990541,-0.105921946556149,7.34591253726605,7.50807858785602
"Ghana",2005,535298,740000,18000,18314,16582,1.53811959058,1.75384217854,900,0.905209485833333,993.1,66399.26,601697.26,1538.11959058,1753.84217854,13.5144054651804,13.3075097074337,6.90083136390931,-0.0995888860097286,7.33831590424682,7.4695641908565
"Ghana",2006,589172,734000,17700,31884,16700,1.59190223743,1.77015705263,915,0.915106799166667,998.4,83102,672274,1591.90223743,1770.15705263,13.5062643075967,13.4184212744979,6.90615399761516,-0.0887145001171829,7.37268495586924,7.47882355193101
"Ghana",2007,506358,614500,15920,26044,18977,1.95226915528,2.04576040583,915,0.932619195,978.4,76121.46,582479.46,1952.26915528,2045.76040583,13.3285642079882,13.2750492019977,6.88591858437296,-0.0697583125765369,7.57674764439374,7.6235248359545
"Ghana",2008,474706,680781,6105,2400,9019,2.57711632353,2.50619111498,1200,1.052275,1134.4,21762.07,496468.07,2577.11632353,2506.19111498,13.4309959475087,13.1152744502282,7.03385915577786,0.0509544869988087,7.85442634876052,7.82651939550904
