Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1991","1991","t","701679","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1992","1992","t","636309","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1993","1993","t","789371","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1994","1994","t","694611","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1995","1995","t","741294","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1996","1996","t","1053716","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1997","1997","t","992939.73","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1998","1998","t","895429.2","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","1999","1999","t","1113177","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2000","2000","t","1113476","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2001","2001","t","1025954","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2002","2002","t","1004283","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2003","2003","t","947858","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2004","2004","t","1060641","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2005","2005","t","990956","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2006","2006","t","925129","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2007","2007","t","803886","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2008","2008","t","782868","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2009","2009","t","917700","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2010","2010","t","790912","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2011","2011","t","1073282","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2012","2012","t","1011631","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2013","2013","t","813891","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2014","2014","t","1116999.72","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2015","2015","t","1285987.57","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2016","2016","t","1055635.67","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2017","2017","t","1510082.39","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2018","2018","t","1525594.45","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2019","2019","t","1621749.24","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2020","2020","t","1486051.36","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2021","2021","t","1609684.58","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2022","2022","t","1473363.24","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2023","2023","t","1339307.31","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","01640","Cocoa beans","2024","2024","t","1059795.49","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1991","1991","t","243040","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1992","1992","t","223770","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1993","1993","t","255966","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1994","1994","t","238269","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1995","1995","t","238841","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1996","1996","t","429751","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1997","1997","t","235648","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1998","1998","t","292838","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","1999","1999","t","280914","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2000","2000","t","360250","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2001","2001","t","335500","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2002","2002","t","310738","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2003","2003","t","346890","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2004","2004","t","640328","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2005","2005","t","535298","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2006","2006","t","589172","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2007","2007","t","506358","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2008","2008","t","474706","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2009","2009","t","395711","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2010","2010","t","281437","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2011","2011","t","697394","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2012","2012","t","585929","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2013","2013","t","526187","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2014","2014","t","747612.36","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2015","2015","t","572624.18","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2016","2016","t","581374.81","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2017","2017","t","573333.77","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2018","2018","t","843641.39","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2019","2019","t","643642.78","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2020","2020","t","527289.78","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2021","2021","t","518929.05","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2022","2022","t","456303.75","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2023","2023","t","433288.04","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","01640","Cocoa beans","2024","2024","t","320152.32","X","Value from external organization","Estimated data using trading partners database"
