Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1991","1991","t","764708","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1992","1992","t","813009","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1993","1993","t","803799","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1994","1994","t","808662","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1995","1995","t","1120000","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1996","1996","t","1235300","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1997","1997","t","1119110","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1998","1998","t","1201119","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","1999","1999","t","1163025","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2000","2000","t","1401101","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2001","2001","t","1212428","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2002","2002","t","1264708","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2003","2003","t","1351546","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2004","2004","t","1407213","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2005","2005","t","1286330","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2006","2006","t","1408854","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2007","2007","t","1229908","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2008","2008","t","1382441","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2009","2009","t","1223153","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2010","2010","t","1301347","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2011","2011","t","1511255","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2012","2012","t","1485882","A","Official value",""
