Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1991","1991","t","30407","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1992","1992","t","30603","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1993","1993","t","27008","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1994","1994","t","24104","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1995","1995","t","24861","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1996","1996","t","26763","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1997","1997","t","29011.49","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1998","1998","t","30337.05","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","1999","1999","t","38543.31","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2000","2000","t","33550.47","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2001","2001","t","44109","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2002","2002","t","54221","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2003","2003","t","59796","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2004","2004","t","60281","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2005","2005","t","58958","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2006","2006","t","60236","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2007","2007","t","57685","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2008","2008","t","62410","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2009","2009","t","67201","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2010","2010","t","63506","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2011","2011","t","56226","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2012","2012","t","71109","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2013","2013","t","54772","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2014","2014","t","89689.09","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2015","2015","t","88680.09","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2016","2016","t","81685.66","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2017","2017","t","87642.02","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2018","2018","t","86963.5","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2019","2019","t","83525.57","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2020","2020","t","83247.85","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2021","2021","t","92584.73","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2022","2022","t","118026.59","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2023","2023","t","140931.88","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23620","Cocoa butter, fat and oil","2024","2024","t","128062.82","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","1991","1991","t","19274","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","1992","1992","t","17539","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","1993","1993","t","24942","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","1994","1994","t","20291","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","1995","1995","t","25561","A","Official value",""
